Link,Type,Title,Description
https://www.change.org/p/united-nations-ban-the-use-of-inhumane-rubber-bullets,Protestors,Ban Use of Inhumane Rubber Bullets,"Rubber bullets can be extremely lethal. They may cause bone fractures, injuries to internal organs, or even death. It’s been proven that rubber and plastic bullets are too dangerous for crowd control and have even been banned in various regions including Kosovo and Catalonia. Please sign this petition for the sake and safety of protestors across the nation. Let’s increase people’s safety, so that they can continue to protest peacefully."
https://www.change.org/p/nsw-police-mandate-the-police-force-academies-to-take-racial-bias-test-rbt,Policy,Mandate The Police Force to test for racial Bias,Innate biased tests are timed exams made by Ivy League schools that you take that get your Impulsive response to other ethnic groups or races. These tests would clean the justice departments out by identifying which cop has subconscious biases towards other races.
https://www.change.org/p/change-org-immigrants-being-poisoned-by-ice,Policy,Stop ICE from poisoning Inmates,"For 2 weeks, ICE has been spraying immigrants with HDQ NEUTRAL 100 times a day, which is germicidal detergent. If you are not aware this detergent causes skin irritation and serious eye damage. This is taking place at the Adelanto Detention Center outside Los Angeles. The people  who are getting sprayed are bleeding and their eyes are burning, and can't get away from it. These people are getting poisoned, However; I want this petition to help my people and stop ICE from continuing this act. "
https://www.change.org/p/department-of-justice-mandatory-life-sentence-for-police-brutality,Policy,Mandatory Life Sentence For Police Brutality,Sign this to enforce a Mandatory Life Sentence For Police Brutality
https://blacklivesmatter.com/defundthepolice/,Policy,#DefundThePolice,"We call for a national defunding of police. We demand investment in our communities and the resources to ensure Black people not only survive, but thrive."
https://act.colorofchange.org/sign/justiceforfloyd_george_floyd_minneapolis,Policy,#JusticeForFloyd,Demand the officers who killed George Floyd are charged with murder.
https://www.change.org/p/us-senate-hands-up-act,Policy,Hands Up Act,Demand punishment for police offices for shooting unarmed citizens.
https://www.naacp.org/campaigns/we-are-done-dying/,Policy,We Are Done Dying,We do not have the full right to live in this country. You can change this.
https://www.change.org/p/prefeitura-do-rio-de-janeiro-justice-for-jo%C4%81o-pedro?signed=true,Policy,Justice For Joāo Pedro,The pandemic has not slowed the police but only made matters worse. Please spread the word and get justice for Joāo Pedro along with every unlawful murder these policemen have committed.
